,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,Year_D,Month_D,Act,Boat,Injur_Type,Spec
32,09-Apr-2018,2018,Unprovoked,NEW CALEDONIA,UNKNOWN,"Magenta Beach, Noumea",Windsurfing,X,UNKNOWN,"No injury, shark bit board",N,17h00,2 m shark,2018,APR,WINDSURFING,No,NO INJURY,UNKONWN
33,05-Apr-2018,2018,Unprovoked,BAHAMAS,UNKNOWN,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,18h00,Bull shark,2018,APR,SWIMMING,No,PUNCTURED,BULL
34,03-Apr-2018,2018,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,N,15h00,White shark,2018,APR,SURFING,No,LACERATIONS,WHITE
35,31-Mar-2018,2018,Unprovoked,USA,HAWAII,Kukio Beach,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,09h30,"Tiger shark, 12'",2018,MAR,PADDLEBOARDING,No,INJURED,TIGER
36,14-Mar-2018,2018,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Waterman's Bay,Wading,M,10,Minor injuries to legs,N,17h35,Wobbegong shark,2018,MAR,WADING,No,MINOR INJURIES,WOBBEGONG
37,9-Mar-2018,2018,Unprovoked,AUSTRALIA,VICTORIA,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,15h30,3.5 m shark,2018,MAR,SWIMMING,No,NO INJURY,UNKONWN
38,9-Mar-2018,2018,Unprovoked,AUSTRALIA,VICTORIA,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",N,07h30,1.8 m shark,2018,MAR,SURFING,No,MINOR INJURIES,UNKONWN
39,24-Feb-2018,2018,Unprovoked,SOUTH AFRICA,KWAZULU-NATAL,Durban,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,UNKNOWN,Blacktip shark,2018,FEB,DIVING,No,INJURED,BLACKTIP
40,23-Feb-2018,2018,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Little Congwong Beach, La Perouse",Swimming,F,55,Laceratons to right leg & foot,N,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m",2018,FEB,SWIMMING,No,LACERATIONS,WHITE
41,18-Feb-2018,2018,Provoked,AUSTRALIA,VICTORIA,Westernport Bay,Kayak fishing for sharks,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Night,UNKNOWN,2018,FEB,FISHING,Yes,NO INJURY,UNKONWN
42,15-Feb-2018,2018,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,N,16h00,"Bull shark, 2 m",2018,FEB,WALKING,No,PUNCTURED,BULL
45,03-Feb-2018,2018,Unprovoked,ECUADOR,GALAPAGOS ISLANDS,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,N,UNKNOWN,Galapagos shark?,2018,FEB,SNORKELING,No,INJURED,GALAPAGOS
47,28-Jan-2018,2018,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Cone Bay,UNKNOWN,M,18,Injuries to right leg,N,08h00,Bull shark,2018,JAN,UNKONWN,No,INJURED,BULL
48,21-Jan-2018,2018,Unprovoked,NEW CALEDONIA,UNKNOWN,Nouville,Spearfishing,M,40,Injuries to abdomen and arm,N,15h30,"Bull shark, 3 m",2018,JAN,SPEARFISHING,No,INJURED,BULL
49,14-Jan-2018,2018,Unprovoked,AUSTRALIA,QUEENSLAND,Lizard Island,Diving,M,UNKNOWN,Severe laceration to left forearm,N,15h01,Grey reef shark. 2 m,2018,JAN,DIVING,No,LACERATIONS,REEF
50,13-Jan-2018,2018,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Martin Islet,Free diving,M,28,"No injury, shark took his swimfin",N,UNKNOWN,"White shark, 3.5 m",2018,JAN,DIVING,No,NO INJURY,WHITE
51,12-Jan-2018,2018,Unprovoked,BRAZIL,FERNANDO DE NORONHA,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,N,Late afternoon,small shark,2018,JAN,SURFING,No,MINOR INJURIES,SMALL
52,05-Jan-2018,2018,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"South Point, Gracetown",Surfing,M,UNKNOWN,Foot bitten,N,UNKNOWN,Wobbegong shark?,2018,JAN,SURFING,No,BITTEN,WOBBEGONG
53,31-Dec-2017,2017,Unprovoked,USA,HAWAII,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,N,18h00,Tiger shark,2017,DEC,SURFING,No,LACERATIONS,TIGER
54,30-Dec-2017,2017,Unprovoked,USA,CALIFORNIA,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,N,12h00,UNKNOWN,2017,DEC,SURFING,No,BITTEN,UNKONWN
55,21-Dec-2017,2017,Provoked,MALAYSIA,SEPANG,Bagan Lalang Beach,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,UNKNOWN,Juvenile nurse shark,2017,DEC,FISHING,Yes,MINOR INJURIES,NURSE
56,09-Dec-2017,2017,Unprovoked,BAHAMAS,UNKNOWN,UNKNOWN,Snorkeling,F,25,Minor injury to arm,N,UNKNOWN,Nurse shark. 5',2017,DEC,SNORKELING,No,MINOR INJURIES,NURSE
57,30-Nov-2017,2017,Unprovoked,COSTA RICA,COCOS ISLAND,Manuelita,Scuba Diving,M,26,Serious injury to leg,N,UNKNOWN,"Tiger shark, female",2017,NOV,DIVING,No,INJURED,TIGER
58,30-Nov-2017,2017,Unprovoked,COSTA RICA,COCOS ISLAND,Manuelita,Scuba diving,F,49,FATAL,Y,UNKNOWN,"Tiger shark, female",2017,NOV,DIVING,No,FATAL INJURY,TIGER
59,Reported 25-Nov-2017,2017,Sea Disaster,LIBYA,UNKNOWN,Gars Garabulli,2 boats capsized,X,UNKNOWN,FATAL,Y,UNKNOWN,Some drowned but other may have been killed by blue sharks,2017,NOV,UNKONWN,No,FATAL INJURY,BLUE
60,24-Nov-2017,2017,Unprovoked,USA,CALIFORNIA,"Stillwater Cove, Monterey County",Spearfishing,M,25,Right leg bitten,N,13h45,"White shark, 4.6 m",2017,NOV,SPEARFISHING,No,BITTEN,WHITE
61,18-Nov-2017,2017,Unprovoked,USA,FLORIDA,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,N,Late afternoon,UNKNOWN,2017,NOV,SURFING,No,BITTEN,UNKONWN
62,Reported 13-Nov-2017,2017,Unprovoked,UNKNOWN,UNKNOWN,UNKNOWN,Surfing,M,24,Puncture wounds to feet,N,UNKNOWN,UNKNOWN,2017,NOV,SURFING,No,PUNCTURED,UNKONWN
63,13-Nov-2017,2017,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,N,16h00,2 m shark,2017,NOV,SURFING,No,PUNCTURED,UNKONWN
64,04-Nov-2017,2017,Unprovoked,CUBA,HOLQUIN PROVINCE,Guardalavaca Beach,Night bathing,M,22,FATAL,Y,23h30,Tiger shark,2017,NOV,BATHING,No,FATAL INJURY,TIGER
65,Reported 31-Oct-2017,2017,Unprovoked,AUSTRALIA,QUEENSLAND,Magnetic Island,Snorkeling,M,7,Calf injured,N,UNKNOWN,Cookiecutter shark,2017,OCT,SNORKELING,No,INJURED,COOKIECUTTER
66,28-Oct-2017,2017,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Birubi Point,Surfing,M,31,Minor injury to foot,N,09h00,"Wobbegong shark, 1 m",2017,OCT,SURFING,No,MINOR INJURIES,WOBBEGONG
67,26-Oct-2017,2017,Unprovoked,USA,HAWAII,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,UNKNOWN,No injury but shark bit SUP,N,15h00,UNKNOWN,2017,OCT,PADDLEBOARDING,No,NO INJURY,UNKONWN
68,23-Oct-2017,2017,Unprovoked,MAURITIUS,PAMPLEMOUSSES,Le Goulet,Swimming,M,UNKNOWN,Minor injury to foot,N,Afternoon,UNKNOWN,2017,OCT,SWIMMING,No,MINOR INJURIES,UNKONWN
69,23-Oct-2017,2017,Unprovoked,USA,FLORIDA,"Juno Beach, Palm Beach County",Surfing,M,17,Lacerations to left foot,N,17h00,UNKNOWN,2017,OCT,SURFING,No,LACERATIONS,UNKONWN
70,23-Oct-2017,2017,Unprovoked,USA,FLORIDA,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,N,08h00,UNKNOWN,2017,OCT,SWIMMING,No,LACERATIONS,UNKONWN
71,22-Oct-2017,2017,Unprovoked,AUSTRALIA,SOUTH AUSTRALIA,Normanville,Kayaking / Fishing,F,15,Minor injuries,N,Afternoon,"White shark, 4.5 m",2017,OCT,KAYAKING,No,MINOR INJURIES,WHITE
72,21-Oct-2017,2017,Unprovoked,NEW ZEALAND,NORTH ISLAND,"Off Tapuna Beach, Auckand",Kayaking,M,UNKNOWN,"No injury, shark shook kayak x3 ",N,09h00,2 m shark,2017,OCT,KAYAKING,No,NO INJURY,UNKONWN
73,18-Oct-2017,2017,Unprovoked,USA,FLORIDA,"Lantana Beach, Palm Beach County",Swimming,M,UNKNOWN,Puncture wounds & lacerations to foot,N,14h30,"Spinner shark, 4 to 5 feet",2017,OCT,SWIMMING,No,LACERATIONS,SPINNER
74,09-Oct-2017,2017,Unprovoked,USA,HAWAII,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,N,18h30,"Tiger shark, 8 to 10 feet",2017,OCT,SURFING,No,LACERATIONS,TIGER
75,05-Oct-2017,2017,Unprovoked,USA,HAWAII,"Kamaole Beach Park, Maui",Snorkeling,F,40,Abrasions,N,12h30,8' shark,2017,OCT,SNORKELING,No,OTHERS,UNKONWN
77,25-Sep-2017,2017,Unprovoked,USA,FLORIDA,"Hanna Park, Jacksonville, Duval County",Surfing,M,UNKNOWN,Lacerations to lower left leg and foot,N,Morning,5' shark,2017,SEP,SURFING,No,LACERATIONS,UNKONWN
78,25-Sep-2017,2017,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Gracetown,Surfing,M,UNKNOWN,"No injury, board damaged by shark",N,18h00,"White shark, 3.5 m",2017,SEP,SURFING,No,NO INJURY,WHITE
80,24-Sep-2017,2017,Unprovoked,USA,FLORIDA,Fort Worth,Surfing,M,UNKNOWN,Laceration to upper arm,N,14h00,4' to 5' shark,2017,SEP,SURFING,No,LACERATIONS,UNKONWN
81,20-Sep-2017,2017,Unprovoked,USA,FLORIDA,Palm Beach County,Surfing,M,UNKNOWN,Minor lacerations to sole of left foot,N,Morning,UNKNOWN,2017,SEP,SURFING,No,LACERATIONS,UNKONWN
82,16-Sep-2017,2017,Unprovoked,SPAIN,CANARY ISLANDS,Gran Canaria,Body surfing,M,13,Lacerations to right foot,N,UNKNOWN,"Porbeagle, 1.5 m",2017,SEP,SURFING,No,LACERATIONS,UNKONWN
83,16-Sep-2017,2017,Unprovoked,USA,FLORIDA,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,N,16h30,UNKNOWN,2017,SEP,SURFING,No,LACERATIONS,UNKONWN
85,15-Sep-2017,2017,UNKNOWN,SAMOA,UPOLU ISLAND,Nofoalii,Fishing,M,UNKNOWN,Injuries to hands and legs,N,Night,UNKNOWN,2017,SEP,FISHING,Yes,INJURED,UNKONWN
86,Sep-2017,2017,Boat,AUSTRALIA,WESTERM AUSTRALIA,Esperance,Fishing,X,UNKNOWN,"sharks rammed boats, no injury to occupants",N,UNKNOWN,"White shark, 3.5m",2017,SEP,FISHING,Yes,NO INJURY,WHITE
87,13-Sep-2017,2017,Unprovoked,USA,FLORIDA,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,N,18h45,5' to 6' shark,2017,SEP,SURFING,No,LACERATIONS,UNKONWN
88,10-Sep-2017,2017,Unprovoked,AUSTRALIA,WESTERM AUSTRALIA,Sam's Creek area,Swimming,M,UNKNOWN,Minor injuries,N,15h00,UNKNOWN,2017,SEP,SWIMMING,No,MINOR INJURIES,UNKONWN
89,10-Sep-2017,2017,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,N,06h00,"White shark, 3 to 3.5m",2017,SEP,SURFING,No,LACERATIONS,WHITE
90,Reported 06-Sep-2017,2017,Unprovoked,SOLOMON ISLANDS,UNKNOWN,Owarigi Island,Spearfishing,M,UNKNOWN,Foot bitten,N,UNKNOWN,UNKNOWN,2017,SEP,SPEARFISHING,No,BITTEN,UNKONWN
91,03-Sep-2017,2017,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,Dyer Island,"Swimming, poaching abalone",M,UNKNOWN,FATAL,Y,Morning,UNKNOWN,2017,SEP,SWIMMING,No,FATAL INJURY,UNKONWN
92,03-Sep-2017,2017,Unprovoked,JAPAN,SHIZUOKA PREFECTURE,Iwata City,Surfing,M,42,Injury to ankle & feet,N,10h00,UNKNOWN,2017,SEP,SURFING,No,INJURED,UNKONWN
93,02-Sep-2017,2017,Unprovoked,USA,FLORIDA,"Marathon, Monroe County",Swimming,M,UNKNOWN,Lacerations to abdomen,N,UNKNOWN,Nurse shark,2017,SEP,SWIMMING,No,LACERATIONS,NURSE
94,02-Sep-2017,2017,Unprovoked,USA,TEXAS,"South Padre Island, Cameron County",Swimming,F,UNKNOWN,Lacerations to foot,N,UNKNOWN,UNKNOWN,2017,SEP,SWIMMING,No,LACERATIONS,UNKONWN
95,02-Sep-2017,2017,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,17,Minor injury to right hand,N,10h44,UNKNOWN,2017,SEP,SURFING,No,MINOR INJURIES,UNKONWN
96,29-Aug-2017,2017,Unprovoked,AUSTRALIA,VICTORIA,Cathedral Rock,Surfing,M,37,"No injury, board bitten",N,10h30,"White shark, 3 m",2017,AUG,SURFING,No,NO INJURY,WHITE
97,27-Aug-2017,2017,Unprovoked,USA,FLORIDA,Bathtub Beach,Wading,F,3,Leg injured,N,13h19,UNKNOWN,2017,AUG,WADING,No,INJURED,UNKONWN
99,26-Aug-2017,2017,Unprovoked,NEW ZEALAND,NORTH ISLAND,Off Tutukaka,Canoeing,M,UNKNOWN,"No injury, shark bit canoe",N,UNKNOWN,UNKNOWN,2017,AUG,CANOEING,No,NO INJURY,UNKONWN
100,23-Aug-2017,2017,Unprovoked,USA,MASSACHUSETTS,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,69,Not injured by shark but board bitten,N,10h00,"White shark, 5' to 7'",2017,AUG,UNKONWN,No,BITTEN,WHITE
101,18-Aug-2017,2017,Unprovoked,BAHAMAS,UNKNOWN,UNKNOWN,Spearfishing,M,UNKNOWN,Hand injured,N,15h00,5' shark,2017,AUG,SPEARFISHING,No,INJURED,UNKONWN
102,10-Aug-2017,2017,Unprovoked,USA,SOUTH CAROLINA,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,Minor cuts to sole & toes of left foot,N,13h30,Possibly a juvenile blacktip shark,2017,AUG,SWIMMING,No,MINOR INJURIES,BLACKTIP
103,05-Aug-2017,2017,Unprovoked,EGYPT,RED SEA PROTECTORATE,Marsa Ghalib,Snorkeling,F,20,Bite to right leg/hip,N,UNKNOWN,"Oceanic whitetip shark, 1.8 to 2 m",2017,AUG,SNORKELING,No,OTHERS,WHITETIP
104,03-Aug-2017,2017,Provoked,USA,MASSACHUSETTS,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,23h30,4' shark,2017,AUG,FISHING,Yes,BITTEN,UNKONWN
105,01-Aug-2017,2017,Boat,USA,CALIFORNIA,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Kayaking / Fishing,M,UNKNOWN,"No injury, bow of kayak bitten",N,10h45,"White shark, 10'",2017,AUG,KAYAKING,Yes,NO INJURY,WHITE
106,31-Jul-2017,2017,Unprovoked,USA,FLORIDA,"Jacksonvlle, Duval County",Skimboarding,M,15,Lacerations to lower leg,N,18h30,UNKNOWN,2017,JUL,SKIMBOARDING,No,LACERATIONS,UNKONWN
108,29-Jul-2017,2017,Unprovoked,USA,SOUTH CAROLINA,"DeBordieu Colony, Georgetown County",UNKNOWN,F,12,Bite to left thigh / minor injury,N,Afternoon,UNKNOWN,2017,JUL,UNKONWN,No,MINOR INJURIES,UNKONWN
109,27-Jul-2017,2017,Unprovoked,BAHAMAS,NEW PROVIDENCE DISTRICT,Rose Island,Snorkeling,F,UNKNOWN,Foot & ankle injured,N,UNKNOWN,UNKNOWN,2017,JUL,SNORKELING,No,INJURED,UNKONWN
110,Reported 26-Jul-2017,2017,Unprovoked,BAHAMAS,40 MILES OFF GRAND BAHAMA ISLAND,UNKNOWN,Spearfishing,M,UNKNOWN,Severe lacerations to left hand,N,UNKNOWN,UNKNOWN,2017,JUL,SPEARFISHING,No,LACERATIONS,UNKONWN
111,24-Jul-2017,2017,Unprovoked,"ST HELENA, BRITISH OVERSEAS TERRITORY",ASCENSION ISLAND,English Bay,Surfing,M,37,Torso bitten,N,17h00,UNKNOWN,2017,JUL,SURFING,No,BITTEN,UNKONWN
112,23-Jul-2017,2017,Unprovoked,USA,NEW JERSEY,Ventnor,UNKNOWN,F,UNKNOWN,Minor injury to hand,N,UNKNOWN,Sandtiger shark  2',2017,JUL,UNKONWN,No,MINOR INJURIES,SANDTIGER
113,23-Jul-2017,2017,Unprovoked,SPAIN,MAJORCA,"Estanys Beach, Colonia de Sant",Swimming,F,UNKNOWN,Abrasion to arm from shark's rough skin,N,Afternoon,Blue shark 6',2017,JUL,SWIMMING,No,OTHERS,BLUE
114,22-Jul-2017,2017,Unprovoked,USA,FLORIDA,"Snipes Point, Monroe County",UNKNOWN,F,40,Foot bitten,N,12h30,"""A small shark""",2017,JUL,UNKONWN,No,BITTEN,SMALL
116,20-Jul-2017,2017,Boat,USA,CALIFORNIA,"Stearns Wharf, Santa Barbara",Kayaking,M,40,"No injury, kayak bitten",N,11h20,"White shark, 11' to 13'",2017,JUL,KAYAKING,Yes,NO INJURY,WHITE
117,20-Jul-2017,2017,Unprovoked,USA,CALIFORNIA,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,"No injury, shark bit paddleboard",N,07h45,"White shark, 8' to 10'",2017,JUL,UNKONWN,No,NO INJURY,WHITE
118,14-Jul-2017,2017,Unprovoked,USA,WASHINGTON,"South Beach, Westport, Grays Harbor County",Surfing,M,UNKNOWN,Pulled off board by shark but no injury,N,18h30,"White shark, 9'",2017,JUL,SURFING,No,NO INJURY,WHITE
119,14-Jul-2017,2017,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Floreat Beach,Surfing,M,UNKNOWN,"Minor injury, grazed by shark",N,11h45,UNKNOWN,2017,JUL,SURFING,No,MINOR INJURIES,UNKONWN
120,11-Jul-2017,2017,Boat,USA,CALIFORNIA,"Santa Cruz, Santa Cruz County",Kayaking,M,UNKNOWN,"No injury, kayak bitten",N,11h00,White shark,2017,JUL,KAYAKING,Yes,NO INJURY,WHITE
121,09-Jul-2017,2017,Unprovoked,USA,FLORIDA,"Haulover Beach, Miami-Dade County",Swimming,M,46,Lower legs bitten,N,15h30,"Bull shark, 4' to 5'",2017,JUL,SWIMMING,No,BITTEN,BULL
122,Reported 07-Jul-2017,2017,Provoked,MEXICO,TABASCO,"Sánchez Magallanes, Cárdenas",Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,UNKNOWN,"Tiger shark, 100 kg",2017,JUL,FISHING,Yes,BITTEN,TIGER
123,07-Jul-2017,2017,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,"Nahoon Reef, East London",Surfing,F,13,"No injury, shark bit surfboard",N,15h00,"White shark, 2.5 m",2017,JUL,SURFING,No,NO INJURY,WHITE
126,21-Jun-2017,2017,Unprovoked,USA,SOUTH CAROLINA,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,Left foot bitten,N,UNKNOWN,UNKNOWN,2017,JUN,SWIMMING,No,BITTEN,UNKONWN
127,19-Jun-2017,2017,Unprovoked,USA,FLORIDA,"Singer Island, Palm Beach County",Surfing,M,UNKNOWN,1 to 2-inch laceration behind knee,N,Morning,UNKNOWN,2017,JUN,SURFING,No,LACERATIONS,UNKONWN
128,18-Jun-2017,2017,Unprovoked,USA,SOUTH CAROLINA,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Leg bitten,N,UNKNOWN,"Bull shark, 4' to 5'",2017,JUN,SWIMMING,No,BITTEN,BULL
